feature,category,dtype,nonnull%,mean,std,min,median,max,used_g1,used_g2,used_g3
data_available_kst_dtm,0.식별자/타깃,datetime64[us],100.0,,,,,,,,
forecast_kst_dtm,0.식별자/타깃,datetime64[us],100.0,,,,,,,,
target,0.식별자/타깃,float64,99.6,6621.981,6582.443,0.0,4252.168,21275.305,,,
ldaps_10m_speed_idw,1a.LDAPS풍속,float64,100.0,4.828,2.457,0.061,4.348,17.077,Y,Y,Y
ldaps_10m_speed_mean,1a.LDAPS풍속,float64,100.0,4.836,2.48,0.372,4.322,16.874,Y,Y,
ldaps_10m_u_idw,1a.LDAPS풍속,float64,100.0,2.621,4.28,-11.429,3.376,16.89,Y,Y,Y
ldaps_10m_u_nearest,1a.LDAPS풍속,float64,100.0,2.302,4.322,-11.668,3.075,16.871,Y,Y,Y
ldaps_10m_v_idw,1a.LDAPS풍속,float64,100.0,0.604,1.949,-16.773,0.664,12.253,Y,,Y
ldaps_10m_v_nearest,1a.LDAPS풍속,float64,100.0,0.707,2.072,-17.11,0.866,12.711,Y,Y,
gfs_100m_speed_idw,1b.GFS풍속,float64,100.0,3.791,3.009,0.016,2.91,24.584,,Y,Y
gfs_100m_speed_mean,1b.GFS풍속,float64,100.0,3.834,2.535,0.303,3.16,21.017,,,
gfs_100m_u_idw,1b.GFS풍속,float64,100.0,2.359,3.724,-18.153,2.031,23.929,Y,Y,Y
gfs_100m_u_nearest,1b.GFS풍속,float64,100.0,2.492,3.919,-18.629,2.149,25.689,Y,Y,Y
gfs_100m_v_idw,1b.GFS풍속,float64,100.0,0.429,1.952,-17.224,0.458,17.313,,,
gfs_100m_v_nearest,1b.GFS풍속,float64,100.0,0.466,1.993,-16.323,0.473,17.933,Y,Y,Y
gfs_10m_speed_idw,1b.GFS풍속,float64,100.0,2.397,1.6,0.013,2.047,14.134,Y,Y,Y
gfs_10m_speed_mean,1b.GFS풍속,float64,100.0,2.607,1.365,0.314,2.305,13.129,Y,Y,Y
gfs_10m_u_idw,1b.GFS풍속,float64,100.0,1.432,2.173,-10.054,1.486,13.224,Y,,Y
gfs_10m_u_nearest,1b.GFS풍속,float64,100.0,1.523,2.278,-10.117,1.627,14.178,Y,Y,Y
gfs_10m_v_idw,1b.GFS풍속,float64,100.0,0.316,1.198,-10.108,0.432,9.474,Y,Y,Y
gfs_10m_v_nearest,1b.GFS풍속,float64,100.0,0.342,1.21,-9.434,0.458,9.654,Y,Y,Y
gfs_80m_speed_idw,1b.GFS풍속,float64,100.0,3.613,2.82,0.043,2.816,23.264,,Y,
gfs_80m_speed_mean,1b.GFS풍속,float64,100.0,3.684,2.381,0.327,3.068,19.937,,,
gfs_80m_u_idw,1b.GFS풍속,float64,100.0,2.242,3.516,-17.218,1.979,22.591,Y,Y,Y
gfs_80m_u_nearest,1b.GFS풍속,float64,100.0,2.37,3.697,-17.654,2.109,24.24,Y,Y,Y
